ComplexId,DisplayName,DisplayDescription,Active
1,Annville-Cleona High School,Annville-Cleona High School,1
2,Cedar Crest,Cedar Crest,1
3,Cocalico Senior High,Cocalico Senior High,1
4,Conestoga Valley,Conestoga Valley,1
5,Donegal,Donegal,1
6,ELCO,ELCO,1
7,Ephrata,Ephrata,1
8,Exeter Township,Exeter Township,1
9,Hempfield,Hempfield,1
10,Lancaster Catholic High School,Lancaster Catholic High School,1
11,Lancaster Country Day School,Lancaster Country Day School,1
12,Lancaster Mennonite High School,Lancaster Mennonite High School,1
13,Lebanon High School,Lebanon High School,1
14,Manheim Central,Manheim Central,1
15,Manheim Township High School,Manheim Township High School,1
16,North Allegheny,North Allegheny,1
17,Northern Lebanon MS HS,Northern Lebanon MS HS,1
18,Octorara,Octorara,1
19,Penn Manor,Penn Manor,1
20,Pequea Valley,Pequea Valley,1
21,Solanco High School,Solanco High School,1
22,Warwick,Warwick,1
23,Wilson,Wilson,1
24,JP McCaskey HIgh School,JP McCaskey High School,1
25,Elizabethtown,Elizabethtown,1
26,Lampeter-Strasburg HS,Lampeter-Strasburg HS,1
27,Garden Spot,Garden Spot,1
28,Daniel Boone HS,Daniel Boone HS,1
29,New Covenant Christian School,New Covenant Christian School - Lebanon Area Evangelical Free Church - Shepard St,1
30,Conrad Weiser,Conrad Weiser,1
31,North Allegheny Intermediate,North Allegheny Intermediate School,1
33,Governor Mifflin,Governor Mifflin,1
34,"Central Dauphin ",Landis Field - Stadium,1
35,"Northern HS ","Northern HS ",1
37,"Reading ","Reading ",1
38,Red Lion Area Senior High School,Red Lion Area Senior High School,1
39,Hershey High School,Hershey High School,1
40,Unknown,Unknown,1
41,Lowther Sports Complex,Lowther Sports Complex,1
42,Dallastown Area HS,Dallastown Area HS,1
43,"Lower Dauphin ","Lower Dauphin ",1
44,"Wyomissing ",Wyomissing,1
45,Muhlenberg High School,Muhlenberg High School,1
46,Rettew Stadium Complex,Rettew Stadium Complex,1
47,Doe Run Elementary,Doe Run Elementary,1
48,Northeastern Senior High School,Northeastern Senior High School,1
49,Red Lion Junior High School,Red Lion Junior High School,1
50,Muhlenberg Middle School,Muhlenberg Middle School,1
51,"Hamburg ","Hamburg ",1
52,"Central York High School ",Central York High School,1
53,Berks Catholic High School,Berks Catholic High School,1
54,Central Dauphin East,Central Dauphin East,1
55,Chichester High School,Chichester High School,1
56,Coatesville Area High School,Coatesville Area High School,1
57,Dayspring,Dayspring,1
58,Devon Prep,Devon Prep,1
60,East Pennsboro Area High School,East Pennsboro Area High School,1
62,Eastern York High School,"Eastern York High School

",1
63,Fleetwood Area HS,Fleetwood Area HS,1
64,Harrisburg Christian,"Harrisburg Christian

",1
65,Kennard-Dale High School,"Kennard-Dale High School
",1
66,Kutztown Area High School,Kutztown Area High School,1
67,Lancaster Cty Christian School,Lancaster Cty Christian School,1
68,"Pine Grove ",Pine Grove,1
69,Sun Valley High School,Sun Valley High School,1
70,Tulpehocken HS MS,Tulpehocken HS MS,1
71,Gettysburg,Gettysburg,1
72,Big Spring,Big Spring,1
73,Bishop McDevitt HS,Bishop McDevitt HS,1
74,"Brandywine Heights ","Brandywine Heights ",1
75,Delone Catholic,Delone Catholic,1
76,Palmyra,Palmyra,1
77,Linden Hall,Linden Hall,1
78,Middletown,Middletown,1
79,Milton Hershey,Milton Hershey,1
80,Oley Valley,Oley Valley,1
81,Oxford,Oxford,1
82,Schuylkill Valley,Schuylkill Valley,1
83,Camp Hill,Camp Hill,1
84,South Western,South Western,1
85,Susquehannock,Susquehannock,1
86,Susquenita,Susquenita,1
87,Trinity,Trinity,1
88,Twin Valley,Twin Valley,1
89,York Country Day,York Country Day,1
90,York Suburban,York Suburban,1
91,Carlisle Area Schools,Carlisle Area Schools,1
92,Harrisburg High School,Harrisburg High School,1
93,Spring-Ford Senior High School,Spring-Ford Senior High School,1
94,Cedar Cliff High School,Cedar Cliff High School,1
95,West York Area High School,West York Area High School,1
96,William Penn,William Penn,1
98,Strath Haven High School,Strath Haven High School,1
99,Mount Calvary Christian School,Mount Calvary Christian School,1
100,Schuylkill Haven High School,Schuylkill Haven High School,1
101,York Catholic,York Catholic,1
102,Dover,Dover,1
103,Cumberland Valley,Cumberland Valley,1
104,Chambersburg,Chambersburg,1
105,Lower Merion,Lower Merion,1
107,Waynesboro,Waynesboro,1
108,Blue Mountain,Blue Mountain,1
109,Hanover,Hanover,1
110,Millersburg,Millersburg,1
112,Biglerville,Biglerville,1
113,Lancaster County Christian,Lancaster County Christian,1
114,Lewisburg,Lewisburg,1
115,Mechanicsburg,Mechanicsburg,1
116,Spring Grove,Spring Grove,1
118,Boiling Springs,Boiling Springs,1
119,Conestoga Christian School,Conestoga Christian School,1
120,Avon Grove,Avon Grove,1
121,Northside Elementary,Northside Elementary,1
122,Kennett High School,Kennett High School,1
123,West Shore Christian Academy,West Shore Christian Academy,1
124,TBA,TBA,1
125,Downingtown East,Downingtown East,1
126,Boyertown,Boyertown,1
127,Parkland,Parkland,1
128,Emmaus,Emmaus,1
129,Easton,Easton,1
130,Pottsgrove,Pottsgrove,1
131,State College,State College,1
134,Red Land,Red Land,1
135,Unionville,Unionville,1
136,Memorial Park Soldiers & Sailors,Memorial Park Soldiers & Sailors,1
137,Williamsport,Williamsport,1
138,Altoona,Altoona,1
139,Northern York,Northern York,1
140,Susquehanna Township,Susquehanna Township,1
141,James Buchanan,James Buchanan,1
142,Shippensburg,"Shippensburg
",1
143,Greencastle-Antrim,Greencastle-Antrim,1
144,Mifflin County,Mifflin County,1
145,West Perry,West Perry,1
146,Bermudian Springs,Bermudian Springs,1
147,North Hagerstown,North Hagerstown,1
148,McConnellsburg,McConnellsburg,1
149,Central Mountain,Central Mountain,1
150,Central Columbia,Central Columbia,1
152,Seneca Valley,Seneca Valley,1
154,Shikellamy,Shikellamy,1
