FieldId,ComplexId,DisplayName,DisplayDescription,LocationUrl,Active
1,1,Annville-Cleona High School Stadium,Annville-Cleona High School Stadium,"https://www.google.com/maps/place/Annville-Cleona+High+School/@40.3241705,-76.5109026,17z/data=!3m1!4b1!4m5!3m4!1s0x89c8a628db7a671d:0x54e8f5d86143c42f!8m2!3d40.3241664!4d-76.5087086",1
2,2,CCHS Stadium,CCHS Stadium,"https://www.google.com/maps/place/Cedar+Crest+High+School/@40.311142,-76.4010915,17z/data=!3m1!4b1!4m5!3m4!1s0x89c61cd2092df683:0x1704fa83dfbbb819!8m2!3d40.3111379!4d-76.3988975",1
3,3,Talon Field - Turf,Talon Field - Turf,"https://www.google.com/maps/place/810+S+4th+St,+Denver,+PA+17517/@40.2257564,-76.1565286,17z/data=!3m1!4b1!4m5!3m4!1s0x89c613be390e5703:0x8ee7fb956ffb01c0!8m2!3d40.2257523!4d-76.1543346",1
4,4,CV Stadium,CV Stadium,"https://www.google.com/maps/place/2110+Horseshoe+Rd,+Lancaster,+PA+17601/@40.0503909,-76.2231227,17z/data=!3m1!4b1!4m5!3m4!1s0x89c63b80f29acd9f:0x3252c99c8ec7250b!8m2!3d40.0503909!4d-76.220934",1
5,4,Soccer Field (Varsity),Soccer Field (Varsity),"https://www.google.com/maps/place/2110+Horseshoe+Rd,+Lancaster,+PA+17601/@40.0503909,-76.2231227,17z/data=!3m1!4b1!4m5!3m4!1s0x89c63b80f29acd9f:0x3252c99c8ec7250b!8m2!3d40.0503909!4d-76.220934",1
6,5,Donegal Athletic Stadium,Donegal Athletic Stadium,"https://www.google.com/maps/place/1025+Koser+Rd/@40.0958422,-76.5103516,862m/data=!3m1!1e3!4m6!3m5!1s0x89c89e855c862d55:0xf9ade58799f5cf70!4b1!8m2!3d40.0964588!4d-76.5130539",1
7,5,Soccer Varsity Field at DPS,Soccer Varsity Field at DPS,"https://www.google.com/maps/place/1025+Koser+Rd/@40.0958422,-76.5103516,862m/data=!3m1!1e3!4m6!3m5!1s0x89c89e855c862d55:0xf9ade58799f5cf70!4b1!8m2!3d40.0964588!4d-76.5130539",1
8,6,Stadium,Stadium,"https://www.google.com/maps/place/180+Elco+Dr,+Myerstown,+PA+17067/@40.344991,-76.2904669,17z/data=!3m1!4b1!4m5!3m4!1s0x89c6059c1fc9824b:0x30e6096301cdc6fd!8m2!3d40.344991!4d-76.2882782",1
9,6,Upper Soccer Field,Upper Soccer Field,"https://www.google.com/maps/place/180+Elco+Dr,+Myerstown,+PA+17067/@40.344991,-76.2904669,17z/data=!3m1!4b1!4m5!3m4!1s0x89c6059c1fc9824b:0x30e6096301cdc6fd!8m2!3d40.344991!4d-76.2882782",1
10,7,Mountaineer Field - MS Campus - 957 Harmon Ave.,Mountaineer Field - MS Campus - 957 Harmon Ave.,"https://www.google.com/maps/place/Mountaineer+Field/@40.1819534,-76.1958904,431m/data=!3m1!1e3!4m5!3m4!1s0x89c61693d971a521:0x1307dcc5127c13d7!8m2!3d40.1828188!4d-76.1960639",1
