MatchEventId,MatchId,TeamId,MatchEventTypeId,TeamRosterId,Occurences,Comments
1,301,5,2,7,1,N. Ncube keeper
2,301,5,3,7,3,NULL
3,301,5,4,7,7,N. Ncube keeper
4,190,29,4,31,1,5 GK saves
5,702,58,4,60,1,NULL
6,735,58,4,60,3,NULL
7,613,70,2,72,1,6
8,613,70,3,72,1,2
9,613,70,4,72,1,4
11,345,97,2,98,10,NULL
12,345,97,3,98,2,NULL
13,345,97,4,98,4,NULL
14,345,97,6,98,2,NULL
15,381,106,7,107,1,#5  Hollander
16,501,155,4,154,1,9 saves
17,735,160,3,159,3,NULL
18,735,160,4,159,4,NULL
19,495,38,4,230,1,10 saves
20,501,38,4,244,1,9 saves
21,496,38,6,248,1,NULL
22,639,59,3,364,3,NULL
23,495,39,4,547,1,11 Saves
24,514,39,4,547,1,10
25,444,21,4,566,1,5 saves
26,613,49,2,718,1,10
27,613,49,3,718,1,3
28,613,49,4,721,1,4
29,264,11,2,743,1,NULL
30,264,11,2,748,1,NULL
31,264,11,2,750,2,NULL
32,264,11,2,751,1,NULL
33,735,58,3,753,5,NULL
34,735,58,3,775,1,NULL
35,514,60,2,784,1,13
36,514,60,3,784,1,1
37,514,60,4,784,1,9
38,514,39,2,818,1,11
39,514,39,3,818,1,0
40,358,6,4,820,2,NULL
41,358,6,4,820,1,Diving save
42,358,6,2,821,1,NULL
43,358,6,2,825,1,Hit the post
44,358,6,2,830,1,NULL
45,358,6,2,835,1,NULL
46,358,6,3,835,4,NULL
47,301,16,4,857,2,NULL
48,301,16,2,859,1,Goal
49,301,16,3,859,3,NULL
50,301,16,2,861,2,NULL
51,301,16,2,864,2,NULL
52,301,16,3,864,5,NULL
53,301,16,2,868,1,NULL
54,301,16,2,876,1,Goal
55,301,16,2,884,2,NULL
56,345,20,4,976,6,NULL
57,346,20,4,976,7,NULL
58,345,20,3,985,4,NULL
59,345,20,4,990,4,NULL
60,345,20,2,995,4,NULL
61,381,15,6,1005,1,NULL
62,264,7,2,1027,1,NULL
63,264,7,2,1033,1,NULL
64,264,7,2,1035,1,NULL
65,264,7,2,1039,2,NULL
66,264,7,2,1043,1,NULL
67,264,7,2,1050,1,NULL
70,190,10,4,1136,1,3 Saves
72,639,51,4,1274,1,2 total saves
73,639,51,3,1279,1,NULL
74,632,51,4,1281,1,10 total saves in the 1st half
75,639,51,4,1281,1,12 total saves in the 1st half
76,632,51,4,1291,1,9 total saves in the 2nd half
77,639,51,4,1291,1,8 total saves
94,243,4,4,173,2,NULL
95,243,4,4,184,2,NULL
98,604,51,4,1281,20,NULL
99,604,48,4,452,1,NULL
100,604,48,4,450,1,NULL
101,608,48,4,450,11,NULL
102,608,170,4,168,11,NULL
103,601,166,4,165,2,NULL
104,601,48,4,450,20,NULL
105,601,48,4,452,2,NULL
106,619,49,4,721,13,NULL
107,619,168,4,167,7,NULL
108,619,49,2,718,7,NULL
109,619,49,2,267,4,NULL
110,619,49,2,719,3,NULL
111,619,49,2,716,3,NULL
112,619,49,2,723,2,NULL
113,619,49,3,718,4,NULL
114,546,43,4,449,13,NULL
115,546,44,4,46,6,NULL
116,372,14,4,1052,2,NULL
117,372,23,4,1153,9,NULL
118,373,14,4,1051,6,NULL
119,373,92,4,93,10,NULL
120,244,4,4,173,5,NULL
121,244,10,4,1114,4,NULL
122,374,14,4,1051,3,NULL
123,374,14,4,1053,1,NULL
124,374,6,4,820,4,NULL
125,540,42,4,400,4,NULL
126,540,50,4,258,12,NULL
127,540,50,4,266,1,NULL
128,526,41,4,492,4,NULL
129,526,39,4,547,4,NULL
135,687,57,4,228,6,NULL
136,687,38,4,230,7,NULL
138,213,21,4,566,1,NULL
139,213,4,4,173,2,NULL
140,192,10,4,1114,4,NULL
141,513,39,2,818,6,NULL
142,513,39,4,547,7,NULL
143,513,39,3,818,4,NULL
144,513,59,4,351,4,NULL
145,513,59,2,211,8,NULL
146,482,48,4,450,13,NULL
147,482,37,4,1259,5,NULL
148,214,21,4,566,0,NULL
149,214,23,4,1138,12,NULL
150,267,7,4,1045,3,NULL
151,267,81,4,83,2,NULL
152,506,69,4,71,4,NULL
153,242,4,4,173,5,NULL
154,242,14,4,1051,4,NULL
156,607,48,4,450,4,NULL
157,607,48,4,452,3,NULL
158,607,72,4,74,3,NULL
159,193,10,4,1114,3,NULL
160,554,43,4,449,4,NULL
161,554,147,4,146,6,NULL
162,549,43,4,449,9,NULL
163,268,7,4,1045,4,NULL
164,375,14,4,1051,3,NULL
165,375,3,4,1338,9,NULL
166,194,10,4,1136,2,NULL
167,194,2,4,1377,7,NULL
168,499,38,4,230,5,NULL
169,499,46,4,798,7,NULL
170,545,131,6,131,1,NULL
171,545,131,7,131,1,NULL
172,545,43,4,449,4,NULL
173,269,7,4,1045,6,NULL
174,269,18,4,1190,2,NULL
175,658,54,2,321,1,NULL
177,603,48,4,452,1,NULL
178,603,48,4,450,5,NULL
179,603,49,4,721,10,NULL
180,658,43,4,449,1,NULL
181,352,20,4,976,13,NULL
182,352,3,4,1338,2,NULL
183,215,21,4,566,8,NULL
184,215,17,4,714,6,NULL
185,512,39,4,547,3,NULL
186,512,56,4,616,6,NULL
187,512,56,4,607,8,NULL
188,556,43,4,449,5,NULL
189,556,59,4,351,5,NULL
190,376,14,4,1051,3,NULL
191,376,11,4,734,8,NULL
192,246,4,4,173,7,NULL
193,429,22,4,1081,9,NULL
194,429,20,4,976,4,NULL
195,696,58,4,60,4,NULL
196,696,48,4,450,9,NULL
197,617,49,4,721,17,NULL
