MatchGoalId,MatchId,TeamId,TimeMinutes,TimeSeconds,ScoringTeamRosterId,AssistTeamRosterId,GoalieTeamRosterId,Comments
12753,3118,612,18,0,9669,9688,9863,NULL
12754,3118,612,43,0,9680,9669,9863,NULL
12755,3118,612,52,0,9680,9670,9863,NULL
12756,3118,612,61,0,9670,9669,9863,NULL
12781,3095,626,47,0,8389,8407,14005,NULL
12763,3634,53,9,0,7166,7492,7645,NULL
12764,3634,53,18,0,7165,7164,7645,NULL
12782,3095,626,54,0,8402,NULL,14005,NULL
12783,3095,626,75,0,8408,8395,14005,NULL
12784,3095,626,77,0,8395,8406,14005,NULL
12885,2942,490,20,0,9809,9508,10081,NULL
12886,2942,490,33,0,9524,9508,10081,NULL
12887,2942,490,65,0,9524,9522,10081,NULL
12888,2942,509,70,0,10092,10090,9815,NULL
12889,2942,509,79,0,10085,NULL,9815,NULL
12930,3556,38,59,0,7004,8513,10017,NULL
12931,3556,38,75,0,7413,7009,10017,NULL
12933,3556,46,72,0,14023,NULL,8525,NULL
12934,3788,42,25,0,7699,7051,7190,NULL
12935,3788,42,64,0,7442,7440,11774,NULL
12936,3788,42,65,0,7700,NULL,11774,NULL
12937,2868,481,93,0,7846,7852,9832,NULL
12938,2973,520,4,0,7746,7757,9573,NULL
12939,2973,520,15,0,7757,NULL,9573,NULL
12940,2973,520,43,0,7748,7746,9581,NULL
12941,2973,520,46,0,7763,7757,9581,NULL
12942,2973,520,53,0,7753,NULL,9581,NULL
12943,2973,520,59,0,7757,NULL,9581,NULL
12944,2973,511,8,0,9572,9574,7767,NULL
12945,3313,18,79,0,6832,14024,6724,NULL
12982,2123,505,0,0,10530,10514,7676,NULL
12983,2123,505,0,0,10512,NULL,7676,NULL
12984,2123,505,0,0,10512,10519,7676,NULL
12985,2123,505,0,0,10516,10511,7676,NULL
12986,2123,483,0,0,7660,7666,11850,NULL
12987,2123,483,0,0,7665,NULL,11850,NULL
12989,3635,53,6,0,7165,7166,10172,NULL
12990,3635,53,19,0,7162,9485,10172,NULL
12991,3635,53,43,0,7166,7165,10172,NULL
13032,3705,60,2,0,7236,NULL,14009,NULL
12993,3635,53,76,0,9485,10291,10172,NULL
13033,3705,60,4,0,7236,NULL,14009,NULL
13034,3705,60,7,0,7488,7238,14009,NULL
13035,3705,60,19,0,9344,9342,14009,NULL
13036,3705,60,32,0,9344,9342,14009,NULL
13037,3705,60,38,0,7242,14031,14009,NULL
13038,3705,60,72,0,14031,14032,14009,NULL
13039,2869,481,6,0,7832,7587,14033,NULL
13040,2869,471,35,0,14034,14035,7860,NULL
13041,2869,471,53,0,14036,NULL,7860,NULL
13070,3096,626,11,0,8395,8407,9863,NULL
13064,2332,272,19,0,8461,8462,14043,NULL
13065,2332,272,89,0,8462,NULL,14043,NULL
13071,3096,626,17,0,8395,8409,9863,NULL
13072,3096,626,31,0,8389,8406,9863,NULL
13073,3096,626,53,0,8389,8395,9863,NULL
13074,3096,626,60,0,8407,NULL,9863,NULL
13134,2686,688,27,0,9650,9642,14067,NULL
13142,2686,688,26,0,9643,9651,14067,NULL
13136,2686,688,22,0,9642,9643,14067,NULL
13137,2686,688,27,0,9643,9646,14067,NULL
13138,2686,688,7,0,9643,9642,14067,NULL
13139,2686,688,45,0,9643,9642,14067,NULL
13140,2686,688,56,0,14068,9643,14067,NULL
13141,2686,688,71,0,9643,9646,14067,NULL
13143,2687,688,5,0,9983,9642,14069,NULL
13144,2687,688,15,0,9643,9642,14069,NULL
13145,2687,688,47,0,9642,9643,14069,NULL
13146,2687,688,68,0,9654,9643,14069,NULL
13147,2685,688,37,0,9983,NULL,14070,NULL
13148,2685,688,52,0,9642,9651,14070,NULL
13149,2685,688,63,0,9642,9643,14070,NULL
13176,3770,42,55,0,7054,NULL,7045,NULL
13177,3770,42,70,0,7442,NULL,7045,NULL
13246,3405,11,50,0,6621,NULL,6679,NULL
13247,3405,11,71,0,6621,NULL,6679,NULL
13272,3146,663,32,0,9856,NULL,14082,NULL
13273,3146,663,57,0,9861,NULL,14082,NULL
13274,3125,663,77,0,9868,NULL,9626,NULL
13275,3138,663,84,0,9864,NULL,10681,NULL
13276,3037,665,68,0,8069,8082,8639,NULL
13277,3037,603,5,0,8632,NULL,8068,NULL
16357,8956,21,11,0,6695,16303,14030,NULL
13279,3037,603,55,0,8632,NULL,8068,NULL
15347,3037,603,9,0,8632,8631,8068,NULL
13281,3579,13,30,0,6637,NULL,6715,NULL
15345,3037,603,66,0,8632,8631,8068,NULL
15346,3037,603,55,0,8638,8631,8068,NULL
13284,3037,603,68,0,8632,NULL,8068,NULL
13285,3826,9,48,0,6611,NULL,6824,left corner
13286,3826,4,47,0,6551,NULL,6608,NULL
13287,3826,4,78,0,9348,NULL,6608,NULL
13288,3602,39,7,0,7421,7015,7239,NULL
13289,3602,60,4,0,7236,7488,7417,NULL
13290,2688,688,13,0,9983,9643,14083,NULL
13291,2688,688,35,0,9642,9651,14083,NULL
13292,2688,454,60,0,7910,NULL,9645,NULL
13293,3830,479,24,0,7882,7878,7860,NULL
13294,3830,479,26,0,7881,NULL,7860,NULL
13295,3830,479,60,0,7869,7878,7860,NULL
13296,3830,479,60,0,7878,7863,7860,NULL
13297,2928,485,21,0,12918,10657,9581,NULL
13298,3830,479,66,0,7868,7878,7860,NULL
13299,2928,485,35,0,10657,12918,9581,NULL
13300,2928,485,52,0,6437,NULL,9581,Own goal
13301,2928,485,72,0,14084,NULL,9581,NULL
13302,2928,485,72,0,14085,NULL,9581,NULL
13303,2928,485,74,0,13019,10657,9581,NULL
13321,2974,520,2,0,7753,7755,8157,NULL
13322,2974,520,12,0,7769,7748,8157,NULL
13323,2974,520,53,0,7746,7760,8157,NULL
13307,3496,1,7,0,6881,6879,6646,"Back pass from the corner, strike from 30 yards over keeper."
13308,3496,1,33,0,6871,6872,6646,"Run across end-line, square pass across the box."
13309,3496,1,73,0,6871,6872,6964,"Run across end-line, square pass to penalty spot."
13310,3496,15,51,0,6966,NULL,6882,"Shot parried, back post finish."
13311,3686,43,16,0,10072,7065,8356,NULL
13312,3686,43,75,0,7066,7065,8356,NULL
13313,3526,48,25,0,14086,NULL,7131,NULL
13453,3686,52,47,0,7154,7146,10014,NULL
13315,3526,48,26,0,7112,7120,7131,NULL
14020,3666,56,67,0,7558,7187,7645,NULL
13317,3526,48,88,0,7112,NULL,7131,NULL
14021,3647,40,60,0,7029,NULL,8568,NULL
13319,3526,50,13,0,7128,NULL,7119,NULL
13320,3526,50,24,0,7127,7481,7119,NULL
13324,3699,59,30,0,7221,7228,14009,NULL
13325,3699,59,32,0,7453,7219,14009,NULL
13326,3699,59,45,0,7453,7219,14009,NULL
13327,2955,506,39,0,10597,10630,9815,NULL
13328,3699,59,48,0,8557,7452,14009,NULL
13329,3699,45,7,0,14087,7093,10733,NULL
13330,2955,490,36,0,9518,9522,9729,NULL
13331,3699,45,54,0,7093,NULL,10733,NULL
13332,2955,490,68,0,9518,9524,9729,NULL
13333,3699,45,79,0,7090,NULL,10733,NULL
13334,3336,3,25,0,6525,NULL,6599,NULL
13345,2990,557,10,0,9318,9320,8157,NULL
13346,2990,557,66,0,9330,9322,8157,NULL
13347,2990,522,27,0,8613,8159,9321,NULL
13348,2990,522,33,0,8610,8613,9321,NULL
13349,2990,522,38,0,8613,8610,9321,NULL
13350,2990,522,73,0,8597,NULL,9321,NULL
13351,3152,663,13,0,9857,NULL,11770,NULL
13352,3153,663,30,0,9861,NULL,14089,NULL
13353,3153,663,60,0,9861,NULL,14089,NULL
13358,3150,663,65,0,9861,9864,11770,NULL
13355,3150,604,10,0,14090,14091,9863,NULL
13356,3150,604,18,0,14092,14005,9863,NULL
13357,3150,604,67,0,13005,NULL,9863,NULL
13365,3112,612,32,0,9670,NULL,10318,NULL
12757,2210,378,6,0,8048,8057,9284,NULL
12758,2210,378,7,0,8045,8057,9284,NULL
12759,2210,378,54,0,8046,8045,9284,NULL
12760,3703,54,36,0,7170,NULL,11817,NULL
12761,3703,54,75,0,7544,NULL,11817,NULL
12773,3334,3,28,0,6525,NULL,6824,NULL
12774,3334,3,37,0,6858,6526,6824,NULL
12775,3334,3,43,0,6526,6525,6824,NULL
12776,3634,53,7,0,7162,7166,7645,NULL
12777,3634,53,20,0,7162,7495,7645,NULL
12778,3634,53,35,0,7160,9485,7645,NULL
12779,3634,53,45,0,7162,7156,7645,NULL
12780,3634,53,69,0,7495,9485,7645,NULL
12838,3524,48,31,0,7397,7112,6983,NULL
12842,3119,615,60,0,8232,NULL,9671,NULL
12843,2141,598,35,0,7997,7608,11818,NULL
12846,2141,598,57,0,7996,7997,11818,NULL
12845,2141,598,63,0,7606,8001,11818,NULL
12847,2140,603,59,0,8632,NULL,7992,NULL
12875,3109,627,48,0,10301,10308,9863,NULL
12921,2108,479,26,0,7878,7882,5444,NULL
12922,2108,479,24,0,7869,7878,5444,NULL
12923,2108,479,20,0,7870,7863,5444,NULL
12924,2108,479,15,0,7881,7870,5444,NULL
12925,2108,479,52,0,7870,7878,5444,NULL
12926,2705,454,22,0,7910,NULL,10547,NULL
12927,2705,454,58,0,7910,7911,10547,NULL
12928,2705,454,64,0,7894,NULL,10547,NULL
12929,2705,454,72,0,7915,7897,10547,NULL
12946,2514,325,9,0,8123,8122,14025,NULL
12947,2514,325,10,0,8152,8131,14025,NULL
12948,2514,325,26,0,8130,8143,14025,NULL
12949,2514,325,26,0,8130,8131,14025,NULL
12950,2514,325,45,0,8125,8152,14025,NULL
12951,2514,325,53,0,8145,NULL,14025,PK
12958,3419,19,33,0,6792,NULL,6752,NULL
12955,5905,17,24,0,6755,6758,7715,NULL
12956,5905,17,39,0,6755,6756,7715,NULL
12959,3419,19,61,0,7648,6677,6752,NULL
12960,5905,17,70,0,6753,6757,7715,NULL
12961,5905,17,91,0,6755,6757,7715,NULL
12962,5905,21,55,0,6810,7733,9982,NULL
12963,5905,21,60,0,7733,7713,9982,NULL
12964,5905,21,73,0,7713,NULL,9982,NULL
12965,2554,378,5,0,8058,8045,10059,NULL
12966,2554,378,16,0,8046,8048,10059,NULL
12967,2554,378,12,0,8047,8058,10059,NULL
12968,2554,378,23,0,8045,8058,10059,NULL
12969,2554,378,25,0,8046,8045,10059,NULL
12970,2554,378,27,0,8045,8051,10059,NULL
12971,2554,378,28,0,8046,8049,10059,NULL
12972,2554,378,29,0,8051,8064,10059,NULL
12973,2554,378,34,0,8051,8047,10059,NULL
12974,2554,378,41,0,8059,8064,10059,NULL
12975,2554,378,50,0,8064,NULL,10059,NULL
12976,2554,378,79,0,8064,8062,10059,NULL
12977,3733,51,32,0,7565,NULL,7123,NULL
12978,3733,49,15,0,8245,NULL,11817,NULL
12979,3733,49,35,0,7125,7538,11817,NULL
12980,3733,49,55,0,9303,7537,11817,NULL
12994,3601,39,15,0,7421,7590,8356,NULL
12995,3601,39,46,0,7421,7015,8356,NULL
12996,3601,39,55,0,7020,7422,8356,NULL
12997,3601,52,56,0,7154,NULL,7417,NULL
13010,3060,654,83,0,9397,NULL,14026,NULL
13011,3060,769,78,0,14028,NULL,9411,NULL
13012,3478,14,50,0,9552,6642,6882,NULL
13042,2160,600,6,0,9241,9248,12984,NULL
13043,2160,600,15,0,9253,9247,12984,NULL
13044,2160,600,22,0,9248,9241,12984,NULL
13045,2160,600,34,0,9241,9243,12984,NULL
13049,2160,594,33,0,14038,14039,9237,NULL
13047,2160,600,58,0,9253,9263,14037,NULL
13048,2160,600,39,0,9248,9241,12984,NULL
13050,2160,594,54,0,14039,NULL,9237,NULL
13051,2160,594,77,0,14040,NULL,9237,NULL
13052,3746,49,23,0,9303,NULL,6984,NULL
13088,3287,27,6,0,14050,14051,6760,NULL
13089,3287,17,36,0,9981,6756,10693,NULL
13055,3438,12,25,0,6625,6854,14041,NULL
13090,3287,17,51,0,14052,NULL,10693,Own Goal
13091,3321,218,6,0,14054,14055,6724,NULL
13098,3420,87,10,0,14058,11839,6752,NULL
13099,3420,87,32,0,14058,14059,6752,NULL
13127,3348,4,38,0,6555,9353,6591,NULL
13171,3615,53,11,0,7160,7161,10212,NULL
13172,3615,53,36,0,7165,10291,10212,NULL
13173,3615,53,38,0,7162,7156,10212,NULL
13174,3615,53,39,0,7166,7156,10212,NULL
13178,3111,627,25,0,10307,NULL,14074,NULL
13179,3111,627,17,0,10308,10301,14074,NULL
13183,3097,626,16,0,8395,8407,8229,NULL
13182,3097,626,13,0,8407,8389,8229,NULL
13184,3097,626,26,0,8389,8407,8229,NULL
13185,3097,626,62,0,8407,8389,8229,NULL
13186,3097,626,71,0,8406,8401,8229,NULL
13187,3505,23,14,0,6911,6720,6646,NULL
13188,3505,23,45,0,6914,6717,6646,NULL
13189,3505,23,72,0,6723,6719,6646,NULL
13191,3804,47,4,0,7107,NULL,7181,Own goal
13192,3804,47,11,0,7107,7736,7181,NULL
13193,3804,47,19,0,8237,7107,7181,NULL
13194,3804,47,21,0,7107,7736,7181,NULL
13195,3804,47,24,0,7104,7107,7181,NULL
13196,3804,47,37,0,7101,NULL,7181,NULL
13197,3804,47,43,0,7101,NULL,7181,NULL
14076,2558,378,29,0,8045,8050,12972,NULL
13199,3804,47,76,0,7105,NULL,7181,NULL
14077,2558,378,53,0,8045,NULL,12972,NULL
13201,3804,47,77,0,7103,NULL,7181,NULL
13202,3804,55,68,0,7185,NULL,7476,NULL
13203,6916,12,26,0,6623,6625,10377,NULL
13204,6916,12,67,0,6851,NULL,10377,NULL
13209,3465,200,5,0,14075,NULL,6579,NULL
13210,3465,200,21,0,14075,NULL,6579,NULL
13211,3465,200,32,0,14075,NULL,6579,NULL
13212,3465,200,36,0,14076,14077,6579,NULL
13213,3465,200,52,0,14076,NULL,6942,NULL
13214,3465,6,18,0,6574,NULL,14078,NULL
13215,3465,6,75,0,6580,NULL,14078,NULL
13216,6917,20,15,0,6689,NULL,6571,NULL
13217,6917,20,44,0,6691,NULL,6579,NULL
13218,6917,6,20,0,6580,6584,10593,NULL
13219,3421,6,6,0,7936,6580,6752,NULL
13220,3421,6,20,0,7936,6580,6752,NULL
13221,3421,6,24,0,6580,7935,6752,NULL
13222,3421,6,37,0,6580,7936,6752,NULL
13224,3421,6,38,0,6572,6582,6752,NULL
13225,3421,6,41,0,6580,NULL,7825,NULL
13226,3421,6,42,0,6582,NULL,7825,NULL
13227,3421,6,48,0,6584,7936,7825,NULL
13228,3421,6,51,0,7936,6583,7825,NULL
13229,3288,10,54,0,6615,10031,6760,NULL
13230,3288,10,86,0,10029,10031,6760,NULL
13231,3288,17,43,0,6756,NULL,6947,NULL
13232,3798,56,7,0,7192,7558,9569,NULL
13233,3798,56,31,0,11834,NULL,9569,NULL
13234,3798,58,13,0,7217,NULL,7190,NULL
13235,3798,58,53,0,7213,NULL,7190,NULL
13236,3798,58,67,0,7217,NULL,7190,NULL
13237,3798,58,68,0,7512,NULL,7190,NULL
13238,3798,58,80,0,7217,7214,7190,NULL
13239,2142,600,8,0,9253,NULL,14079,NULL
13240,2142,600,12,0,9248,9241,14079,NULL
13241,2142,600,21,0,9248,NULL,14079,NULL
13242,2142,600,89,0,9248,9241,14079,NULL
13243,2142,598,63,0,8017,7606,9237,NULL
13244,2142,598,70,0,7997,NULL,9237,NULL
13245,2142,598,79,0,7994,7605,9237,NULL
13249,2555,436,30,0,14080,NULL,8065,PK
13250,2555,378,7,0,8046,8045,10758,NULL
13251,2555,378,13,0,8046,8048,10758,NULL
13252,2555,378,29,0,8051,8048,10758,NULL
13253,2333,350,35,0,8028,8026,8452,NULL
12808,3035,654,20,0,9394,9393,8078,NULL
