TeamId,LeagueId,SectionId,DisplayName,DisplayDescription,HomePageUrl,TeamPhoto,TeamLogo,MembershipLevel,Active
1,1,5,Annville-Cleona,Annville-Cleona,https://www.arbiterlive.com/Teams/Schedule/3851451,NULL,1.png,1,1
2,1,2,Cedar Crest,Cedar Crest,https://www.arbiterlive.com/Teams/Schedule/6166356,NULL,2.png,1,1
3,1,3,Cocalico,Cocalico,https://www.arbiterlive.com/Teams/Schedule/6166366,NULL,3.png,1,1
4,1,3,Conestoga Valley,Conestoga Valley,https://www.arbiterlive.com/Teams/Schedule/3851795,4.jpg,4.png,1,1
5,1,4,Donegal,Donegal,https://www.arbiterlive.com/Teams/Schedule/3851915,NULL,5.png,1,1
6,1,4,ELCO,ELCO,https://www.arbiterlive.com/Teams/Schedule/6207208,NULL,6.png,1,1
7,1,3,Elizabethtown,Elizabethtown,https://www.arbiterlive.com/Teams/Schedule/4634546,7.jpg,7.png,1,1
8,1,3,Ephrata,Ephrata,https://www.arbiterlive.com/Teams/Schedule/3852030,8.jpg,8.png,1,1
9,1,3,Garden Spot,Garden Spot,https://www.arbiterlive.com/Teams/Schedule/6166363,9.jpg,9.png,1,1
10,1,2,Hempfield,Hempfield,https://www.arbiterlive.com/Teams/Schedule/3909116,NULL,10.png,1,1
11,1,4,Lampeter-Strasburg,Lampeter-Strasburg,https://www.arbiterlive.com/Teams/Schedule/4155574,11.jpg,11.png,1,1
12,1,4,Lancaster Catholic,Lancaster Catholic,https://www.arbiterlive.com/Teams/Schedule/3852286,NULL,12.png,1,1
13,1,5,Lancaster Country Day,Lancaster Country Day School,https://www.arbiterlive.com/Teams/Schedule/3852302,NULL,13.png,1,1
14,1,5,Lancaster Mennonite,Lancaster Mennonite,https://www.arbiterlive.com/Teams/Schedule/3852311,NULL,14.png,1,1
15,1,5,Lebanon,Lebanon,https://www.arbiterlive.com/Teams/Schedule/6171309,NULL,15.png,1,1
16,1,3,Manheim Central,Manheim Central,https://www.arbiterlive.com/Teams/Schedule/4230527,16.jpg,16.png,1,1
17,1,2,Manheim Township,Manheim Township,https://www.arbiterlive.com/Teams/Schedule/4155416,17.jpg,17.png,1,1
18,1,2,McCaskey,McCaskey,https://www.arbiterlive.com/Teams/Schedule/3852408,NULL,18.png,1,1
19,1,4,Northern Lebanon,Northern Lebanon,https://www.arbiterlive.com/Teams/Schedule/3868413,NULL,19.png,1,1
20,1,4,Octorara,Octorara,https://www.arbiterlive.com/Teams/Schedule/6266930,NULL,20.png,1,1
21,1,2,Penn Manor,Penn Manor,https://www.arbiterlive.com/Teams/Schedule/3852586,NULL,21.png,1,1
22,1,5,Pequea Valley,Pequea Valley,https://www.arbiterlive.com/Teams/Schedule/6169174,NULL,22.png,1,1
23,1,5,Solanco,Solanco,https://www.arbiterlive.com/Teams/Schedule/4961603,NULL,23.png,1,1
24,1,2,Warwick,Warwick,https://www.arbiterlive.com/Teams/Schedule/3852815,24.jpg,24.png,1,1
25,1,1,Wilson,Wilson,https://www.google.com/,NULL,25.png,0,1
26,1,1,North Allegheny,North Allegheny,Home,NULL,NULL,0,1
27,1,1,Exeter Township,Exeter Township,"https://www.google.com/maps/search/Exeter+Junior+High+Schol/@40.3167622,-75.8681966,17z/data=!3m1!4b1?hl=en",NULL,27.png,0,1
28,1,1,Central Dauphin,Central Dauphin,https://www.cdschools.org/,NULL,28.png,0,1
29,1,1,Governor Mifflin,Governor Mifflin,https://www.google.com/,NULL,29.png,0,1
30,1,1,Daniel Boone,Daniel Boone,https://www.google.com/,NULL,30.png,0,1
31,1,1,Tulpehocken,Tulpehocken,https://www.google.com/,NULL,31.png,0,1
32,1,1,Eastern York High School,Eastern York High School,Home,NULL,NULL,0,1
33,1,1,Conrad Weiser,Conrad Weiser,https://www.google.com/,NULL,33.png,0,1
34,1,1,Lancaster County Christian,Lancaster County Christian,Home,NULL,NULL,0,1
